"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2024-02-13T00:00:00.000Z,0.3,18.02,1.12,0.9,1.35,1.577,577"
"2024-02-14T00:00:00.000Z,0.6,16.3,1.23,1.05,1.4,1.249,589"
"2024-02-15T00:00:00.000Z,0.25,48.2,1,0.82,1.17,3.47,571"
"2024-02-16T00:00:00.000Z,0,20.48,0.89,0.52,1.6,2.027,584"
"2024-02-17T00:00:00.000Z,0,19.07,0.6,0.38,0.85,1.251,589"
"2024-02-18T00:00:00.000Z,0.1,50.63,1.12,0.8,1.65,4.05,573"
"2024-02-19T00:00:00.000Z,0,49.33,0.4,0.22,0.7,2.646,576"
"2024-02-20T00:00:00.000Z,0.1,12.73,0.8,0.56,1.21,1.17,525"
"2024-02-21T00:00:00.000Z,0,56.2,1.38,0.95,1.8,3.638,583"
"2024-02-22T00:00:00.000Z,0,29.73,0.4,0.25,0.6,1.666,581"
"2024-02-23T00:00:00.000Z,0,31.33,0.3,0.2,0.47,2.532,580"
"2024-02-24T00:00:00.000Z,0,29.23,0.28,0.13,0.5,2.771,583"
"2024-02-25T00:00:00.000Z,0,24.05,0.32,0.2,0.47,2.863,579"
"2024-02-26T00:00:00.000Z,0,28.25,0.42,0.17,0.64,2.112,576"
"2024-02-27T00:00:00.000Z,0,31.55,0.32,0.2,0.5,1.884,570"
"2024-02-28T00:00:00.000Z,0.05,15.7,0.6,0.4,0.9,1.361,588"
"2024-02-29T00:00:00.000Z,0,65.38,0.6,0.4,0.77,3.211,581"
"2024-03-01T00:00:00.000Z,0,16,0.43,0.3,0.63,0.836,516"
"2024-03-02T00:00:00.000Z,1.42,29.42,2.17,1.9,2.54,2.017,579"
"2024-03-03T00:00:00.000Z,1.3,19.32,2.2,1.9,2.54,1.092,573"
"2024-03-04T00:00:00.000Z,1.17,117.8,2.15,1.77,2.6,6.51,574"
"2024-03-05T00:00:00.000Z,1.05,16,2.2,1.65,3.12,1.338,576"
"2024-03-06T00:00:00.000Z,0.9,10.6,1.55,1.4,1.75,0.623,577"
"2024-03-07T00:00:00.000Z,0.68,18.64,2.15,1.4,3.03,1.633,545"
"2024-03-08T00:00:00.000Z,1.73,33.67,4.13,3.6,4.59,1.865,575"
"2024-03-09T00:00:00.000Z,0.35,29.23,1.02,0.8,1.48,2.528,573"
"2024-03-10T00:00:00.000Z,0.22,19.32,0.8,0.63,1.1,1.214,559"
"2024-03-11T00:00:00.000Z,0.28,17.2,0.77,0.6,1,1.099,550"
"2024-03-12T00:00:00.000Z,0.22,8.94,1.33,0.98,1.73,0.908,573"
"2024-03-13T00:00:00.000Z,0.35,19.17,1.4,1.02,1.75,1.467,583"
"2024-03-14T00:00:00.000Z,0,23.5,1.3,0.6,1.52,1.781,572"
"2024-03-15T00:00:00.000Z,0,8.68,0.77,0.5,1.1,0.893,575"
"2024-03-16T00:00:00.000Z,0,5.15,0.45,0.3,0.65,0.463,580"
"2024-03-17T00:00:00.000Z,0,20.83,0.4,0.25,0.55,0.999,559"
"2024-03-18T00:00:00.000Z,0,12.3,0.5,0.3,0.8,0.804,580"
"2024-03-19T00:00:00.000Z,0.03,16.8,1,0.6,1.42,1.125,585"
"2024-03-20T00:00:00.000Z,0.25,21.38,1.3,0.93,1.7,1.263,577"
"2024-03-21T00:00:00.000Z,0.03,24.02,1.14,0.8,1.58,1.204,583"
"2024-03-22T00:00:00.000Z,0,18.55,0.32,0.15,0.82,1.353,506"
"2024-03-23T00:00:00.000Z,0,32.78,0.82,0.32,1.6,2.041,543"
